Index,Product_Name:,Brand,Original_Price,Discount_price,Discounted_percentage,Rating,Reviews
0,White Men's Sports Running Shoes,Airhype,"Rs. 2,249",Rs.  620,72%,4,10
1,Black Men's Sports Running Shoes,Airhype,Rs. 999,Rs.  677,32%,3,25
2,White Men's Sports Running Shoes,Airhype,"Rs. 2,249",Rs.  640,72%,2,90
3,Black Men's Sports Running Shoes,Airhype,"Rs. 2,249",Rs.  607,73%,1,40
4,Blue Men's Sports Running Shoes,Airhype,"Rs. 2,249",Rs.  607,73%,3.8,4
5,Navy Men's Sports Running Shoes,Birde,"Rs. 1,499",Rs.  649,57%,3.9,4
6,Navy Men's Sports Running Shoes,Birde,"Rs. 1,499",Rs.  685,54%,3.7,4
7,Black Men's Sports Running Shoes,Birde,"Rs. 1,499",Rs.  685,54%,4.3,1
8,Brown Men's Sports Running Shoes,Birde,"Rs. 1,499",Rs.  668,55%,3.5,0
9,Green Men's Sports Running Shoes,Airhype,"Rs. 2,249",Rs.  647,71%,3.5,0
10,White Men's Sports Running Shoes,Birde,"Rs. 1,499",Rs.  668,55%,3.5,0
11,PRO SPORT BG FORCE Non-Marking Shoes Blue Unisex,ASE,"Rs. 1,800","Rs.  1,399",22%,1,0
12,PRO SPORT BG-015 Non-Marking Shoes Blue Unisex,ASE,"Rs. 2,000","Rs.  1,491",25%,Not Rated,0
13,PRO SPORT BG-005 Non-Marking Shoes Yellow Unisex,ASE,"Rs. 2,000","Rs.  1,445",28%,Not Rated,0
14,White Men's Sports Running Shoes,Airhype,"Rs. 2,249",Rs.  647,71%,Not Rated,0
15,Gray Men's Sports Running Shoes,Airhype,"Rs. 2,249",Rs.  597,73%,Not Rated,0
16,Black Men's Sports Running Shoes,Airhype,"Rs. 2,249",Rs.  647,71%,Not Rated,0
17,Navy Blue Men's Sports Running Shoes,Birde,"Rs. 1,799",Rs.  890,51%,Not Rated,0
18,Black Men's Sports Running Shoes,Airhype,"Rs. 2,249",Rs.  597,73%,Not Rated,0
19,Gray Men's Sports Running Shoes,Birde,"Rs. 2,799","Rs.  1,170",58%,Not Rated,0
